"id","addtime","shopname","score","qsprice","psprice","msname","imgurl","monthsales","jiage","stock","shopurl"
"64","2025-04-15 13:47:57","饭盒故事(淄博店)","4.9","0","0","毛式红烧肉+红烧茄子+米饭","https://cube.elemecdn.com/c/4b/3e242b589361e4c3c2cea0e3d6d0fpng.png","100","21.9","9989","https://h5.ele.me/2021001185671035/pages/ele-takeout-index/ele-takeout-index?trace_id=215040c217446960758405648e1fcb&cartTransmit=%7B%22trace_id%22%3A%22215040c217446960758405648e1fcb%22%2C%22type%22%3A1%2C%22scheme_type%22%3A%22ITEM_STICKY_CATEGORY_SCHEME%22%2C%22subsubchannel%22%3A%22mobile.default.alsc-rec-data-center%3ATpp-26736%22%7D&anchorScene=BLANK&geohash=wwecmz4s8crn&brandId=1278123&storeTransmit=%7B%22trace_id%22%3A%22215040c217446960758405648e1fcb%22%2C%22anchorScene%22%3A%22BLANK%22%2C%22subsubchannel%22%3A%22mobile.default.alsc-rec-data-center%3ATpp-26736%22%7D&menu_extra_info=%7B%22is_anchor%22%3Afalse%2C%22name_desc%22%3A%22%E5%88%9A%E5%88%9A%E7%9C%8B%E8%BF%87%22%2C%22skip_select_sku%22%3Atrue%2C%22group_name%22%3A%22%E5%88%9A%E5%88%9A%E7%9C%8B%E8%BF%87%22%2C%22sku_ids%22%3A%5B%22100000703173038455%22%5D%2C%22popularity%22%3A0%2C%22type%22%3A%22CUSTOM%22%7D&shopId=E964046742568976696&type=1&scheme_type=ITEM_STICKY_CATEGORY_SCHEME&subsubchannel=mobile.default.alsc-rec-data-center%3ATpp-26736&o2o_extra_param=%7B%22rank_id%22%3A%22dce990f642c2467d9d68151676e0a7f2%22%7D"
"65","2025-04-15 13:47:57","饭盒故事(淄博店)","4.9","0","0","毛式红烧肉拼糖醋里脊+米饭","https://cube.elemecdn.com/0/ec/ea22506e8ad0421070c7d9fca6decpng.png","100","22.5","9968","https://h5.ele.me/2021001185671035/pages/ele-takeout-index/ele-takeout-index?trace_id=215040c217446960758405648e1fcb&cartTransmit=%7B%22trace_id%22%3A%22215040c217446960758405648e1fcb%22%2C%22type%22%3A1%2C%22scheme_type%22%3A%22ITEM_STICKY_CATEGORY_SCHEME%22%2C%22subsubchannel%22%3A%22mobile.default.alsc-rec-data-center%3ATpp-26736%22%7D&anchorScene=BLANK&geohash=wwecmz4s8crn&brandId=1278123&storeTransmit=%7B%22trace_id%22%3A%22215040c217446960758405648e1fcb%22%2C%22anchorScene%22%3A%22BLANK%22%2C%22subsubchannel%22%3A%22mobile.default.alsc-rec-data-center%3ATpp-26736%22%7D&menu_extra_info=%7B%22is_anchor%22%3Afalse%2C%22name_desc%22%3A%22%E5%88%9A%E5%88%9A%E7%9C%8B%E8%BF%87%22%2C%22skip_select_sku%22%3Atrue%2C%22group_name%22%3A%22%E5%88%9A%E5%88%9A%E7%9C%8B%E8%BF%87%22%2C%22sku_ids%22%3A%5B%22100000703173038455%22%5D%2C%22popularity%22%3A0%2C%22type%22%3A%22CUSTOM%22%7D&shopId=E964046742568976696&type=1&scheme_type=ITEM_STICKY_CATEGORY_SCHEME&subsubchannel=mobile.default.alsc-rec-data-center%3ATpp-26736&o2o_extra_param=%7B%22rank_id%22%3A%22dce990f642c2467d9d68151676e0a7f2%22%7D"
"66","2025-04-15 13:47:57","饭盒故事(淄博店)","4.9","0","0","红烧茄子拼番茄炒蛋+米饭","https://cube.elemecdn.com/8/32/fc0b671536cb76d1b9c77afd4fbc2png.png","58","18.9","9369","https://h5.ele.me/2021001185671035/pages/ele-takeout-index/ele-takeout-index?trace_id=215040c217446960758405648e1fcb&cartTransmit=%7B%22trace_id%22%3A%22215040c217446960758405648e1fcb%22%2C%22type%22%3A1%2C%22scheme_type%22%3A%22ITEM_STICKY_CATEGORY_SCHEME%22%2C%22subsubchannel%22%3A%22mobile.default.alsc-rec-data-center%3ATpp-26736%22%7D&anchorScene=BLANK&geohash=wwecmz4s8crn&brandId=1278123&storeTransmit=%7B%22trace_id%22%3A%22215040c217446960758405648e1fcb%22%2C%22anchorScene%22%3A%22BLANK%22%2C%22subsubchannel%22%3A%22mobile.default.alsc-rec-data-center%3ATpp-26736%22%7D&menu_extra_info=%7B%22is_anchor%22%3Afalse%2C%22name_desc%22%3A%22%E5%88%9A%E5%88%9A%E7%9C%8B%E8%BF%87%22%2C%22skip_select_sku%22%3Atrue%2C%22group_name%22%3A%22%E5%88%9A%E5%88%9A%E7%9C%8B%E8%BF%87%22%2C%22sku_ids%22%3A%5B%22100000703173038455%22%5D%2C%22popularity%22%3A0%2C%22type%22%3A%22CUSTOM%22%7D&shopId=E964046742568976696&type=1&scheme_type=ITEM_STICKY_CATEGORY_SCHEME&subsubchannel=mobile.default.alsc-rec-data-center%3ATpp-26736&o2o_extra_param=%7B%22rank_id%22%3A%22dce990f642c2467d9d68151676e0a7f2%22%7D"
"67","2025-04-15 13:47:57","饭盒故事(淄博店)","4.9","0","0","红烧排骨拼番茄炒蛋+米饭","https://cube.elemecdn.com/7/d3/8e272899f8820564fcfa875ac2e5bpng.png","76","23","9763","https://h5.ele.me/2021001185671035/pages/ele-takeout-index/ele-takeout-index?trace_id=215040c217446960758405648e1fcb&cartTransmit=%7B%22trace_id%22%3A%22215040c217446960758405648e1fcb%22%2C%22type%22%3A1%2C%22scheme_type%22%3A%22ITEM_STICKY_CATEGORY_SCHEME%22%2C%22subsubchannel%22%3A%22mobile.default.alsc-rec-data-center%3ATpp-26736%22%7D&anchorScene=BLANK&geohash=wwecmz4s8crn&brandId=1278123&storeTransmit=%7B%22trace_id%22%3A%22215040c217446960758405648e1fcb%22%2C%22anchorScene%22%3A%22BLANK%22%2C%22subsubchannel%22%3A%22mobile.default.alsc-rec-data-center%3ATpp-26736%22%7D&menu_extra_info=%7B%22is_anchor%22%3Afalse%2C%22name_desc%22%3A%22%E5%88%9A%E5%88%9A%E7%9C%8B%E8%BF%87%22%2C%22skip_select_sku%22%3Atrue%2C%22group_name%22%3A%22%E5%88%9A%E5%88%9A%E7%9C%8B%E8%BF%87%22%2C%22sku_ids%22%3A%5B%22100000703173038455%22%5D%2C%22popularity%22%3A0%2C%22type%22%3A%22CUSTOM%22%7D&shopId=E964046742568976696&type=1&scheme_type=ITEM_STICKY_CATEGORY_SCHEME&subsubchannel=mobile.default.alsc-rec-data-center%3ATpp-26736&o2o_extra_param=%7B%22rank_id%22%3A%22dce990f642c2467d9d68151676e0a7f2%22%7D"
"68","2025-04-15 13:47:57","饭盒故事(淄博店)","4.9","0","0","糖醋里脊拼番茄炒蛋+米饭","https://cube.elemecdn.com/c/ad/dea098219c47ad38f706acf9331bajpg.jpg","36","22.3","9532","https://h5.ele.me/2021001185671035/pages/ele-takeout-index/ele-takeout-index?trace_id=215040c217446960758405648e1fcb&cartTransmit=%7B%22trace_id%22%3A%22215040c217446960758405648e1fcb%22%2C%22type%22%3A1%2C%22scheme_type%22%3A%22ITEM_STICKY_CATEGORY_SCHEME%22%2C%22subsubchannel%22%3A%22mobile.default.alsc-rec-data-center%3ATpp-26736%22%7D&anchorScene=BLANK&geohash=wwecmz4s8crn&brandId=1278123&storeTransmit=%7B%22trace_id%22%3A%22215040c217446960758405648e1fcb%22%2C%22anchorScene%22%3A%22BLANK%22%2C%22subsubchannel%22%3A%22mobile.default.alsc-rec-data-center%3ATpp-26736%22%7D&menu_extra_info=%7B%22is_anchor%22%3Afalse%2C%22name_desc%22%3A%22%E5%88%9A%E5%88%9A%E7%9C%8B%E8%BF%87%22%2C%22skip_select_sku%22%3Atrue%2C%22group_name%22%3A%22%E5%88%9A%E5%88%9A%E7%9C%8B%E8%BF%87%22%2C%22sku_ids%22%3A%5B%22100000703173038455%22%5D%2C%22popularity%22%3A0%2C%22type%22%3A%22CUSTOM%22%7D&shopId=E964046742568976696&type=1&scheme_type=ITEM_STICKY_CATEGORY_SCHEME&subsubchannel=mobile.default.alsc-rec-data-center%3ATpp-26736&o2o_extra_param=%7B%22rank_id%22%3A%22dce990f642c2467d9d68151676e0a7f2%22%7D"
"69","2025-04-15 13:47:57","饭盒故事(淄博店)","4.9","0","0","红烧肉+红烧排骨+米饭","https://cube.elemecdn.com/9/1f/248bcb45009a61edb9fa7afd5c735png.png","47","25.9","9645","https://h5.ele.me/2021001185671035/pages/ele-takeout-index/ele-takeout-index?trace_id=215040c217446960758405648e1fcb&cartTransmit=%7B%22trace_id%22%3A%22215040c217446960758405648e1fcb%22%2C%22type%22%3A1%2C%22scheme_type%22%3A%22ITEM_STICKY_CATEGORY_SCHEME%22%2C%22subsubchannel%22%3A%22mobile.default.alsc-rec-data-center%3ATpp-26736%22%7D&anchorScene=BLANK&geohash=wwecmz4s8crn&brandId=1278123&storeTransmit=%7B%22trace_id%22%3A%22215040c217446960758405648e1fcb%22%2C%22anchorScene%22%3A%22BLANK%22%2C%22subsubchannel%22%3A%22mobile.default.alsc-rec-data-center%3ATpp-26736%22%7D&menu_extra_info=%7B%22is_anchor%22%3Afalse%2C%22name_desc%22%3A%22%E5%88%9A%E5%88%9A%E7%9C%8B%E8%BF%87%22%2C%22skip_select_sku%22%3Atrue%2C%22group_name%22%3A%22%E5%88%9A%E5%88%9A%E7%9C%8B%E8%BF%87%22%2C%22sku_ids%22%3A%5B%22100000703173038455%22%5D%2C%22popularity%22%3A0%2C%22type%22%3A%22CUSTOM%22%7D&shopId=E964046742568976696&type=1&scheme_type=ITEM_STICKY_CATEGORY_SCHEME&subsubchannel=mobile.default.alsc-rec-data-center%3ATpp-26736&o2o_extra_param=%7B%22rank_id%22%3A%22dce990f642c2467d9d68151676e0a7f2%22%7D"
"70","2025-04-15 13:47:57","饭盒故事(淄博店)","4.9","0","0","鱼香肉丝单点不送","https://cube.elemecdn.com/e/51/78e15354aa201228a19bfea81b64cpng.png","8","10.9","9810","https://h5.ele.me/2021001185671035/pages/ele-takeout-index/ele-takeout-index?trace_id=215040c217446960758405648e1fcb&cartTransmit=%7B%22trace_id%22%3A%22215040c217446960758405648e1fcb%22%2C%22type%22%3A1%2C%22scheme_type%22%3A%22ITEM_STICKY_CATEGORY_SCHEME%22%2C%22subsubchannel%22%3A%22mobile.default.alsc-rec-data-center%3ATpp-26736%22%7D&anchorScene=BLANK&geohash=wwecmz4s8crn&brandId=1278123&storeTransmit=%7B%22trace_id%22%3A%22215040c217446960758405648e1fcb%22%2C%22anchorScene%22%3A%22BLANK%22%2C%22subsubchannel%22%3A%22mobile.default.alsc-rec-data-center%3ATpp-26736%22%7D&menu_extra_info=%7B%22is_anchor%22%3Afalse%2C%22name_desc%22%3A%22%E5%88%9A%E5%88%9A%E7%9C%8B%E8%BF%87%22%2C%22skip_select_sku%22%3Atrue%2C%22group_name%22%3A%22%E5%88%9A%E5%88%9A%E7%9C%8B%E8%BF%87%22%2C%22sku_ids%22%3A%5B%22100000703173038455%22%5D%2C%22popularity%22%3A0%2C%22type%22%3A%22CUSTOM%22%7D&shopId=E964046742568976696&type=1&scheme_type=ITEM_STICKY_CATEGORY_SCHEME&subsubchannel=mobile.default.alsc-rec-data-center%3ATpp-26736&o2o_extra_param=%7B%22rank_id%22%3A%22dce990f642c2467d9d68151676e0a7f2%22%7D"
"71","2025-04-15 13:47:57","S-pizza披萨速递(世纪路福园店)","5","15","0","【第一份0.1元】8英寸人气披萨5选1（两个披萨）","https://cube.elemecdn.com/6/98/a69bebaeb86ed0329e2311b0351d0jpeg.jpeg","74","0.1","10000","https://h5.ele.me/2021001185671035/pages/ele-takeout-index/ele-takeout-index?trace_id=215040c217446960758405648e1fcb&cartTransmit=%7B%22trace_id%22%3A%22215040c217446960758405648e1fcb%22%2C%22type%22%3A1%2C%22scheme_type%22%3A%22ITEM_STICKY_CATEGORY_SCHEME%22%2C%22subsubchannel%22%3A%22mobile.default.alsc-rec-data-center%3ATpp-26736%22%7D&anchorScene=BLANK&geohash=wwecmz4s8crn&brandId=603906&storeTransmit=%7B%22trace_id%22%3A%22215040c217446960758405648e1fcb%22%2C%22anchorScene%22%3A%22BLANK%22%2C%22subsubchannel%22%3A%22mobile.default.alsc-rec-data-center%3ATpp-26736%22%7D&menu_extra_info=%7B%22is_anchor%22%3Afalse%2C%22name_desc%22%3A%22%E5%88%9A%E5%88%9A%E7%9C%8B%E8%BF%87%22%2C%22skip_select_sku%22%3Atrue%2C%22group_name%22%3A%22%E5%88%9A%E5%88%9A%E7%9C%8B%E8%BF%87%22%2C%22sku_ids%22%3A%5B%22100001422566104885%22%5D%2C%22popularity%22%3A0%2C%22type%22%3A%22CUSTOM%22%7D&shopId=E15208568147858712325&type=1&scheme_type=ITEM_STICKY_CATEGORY_SCHEME&subsubchannel=mobile.default.alsc-rec-data-center%3ATpp-26736&o2o_extra_param=%7B%22rank_id%22%3A%22dce990f642c2467d9d68151676e0a7f2%22%7D"
"72","2025-04-15 13:47:57","S-pizza披萨速递(世纪路福园店)","5","15","0","【店长推荐】8英寸奥尔良烤鸡腿肉披萨","https://cube.elemecdn.com/d/ac/4d825ad9a329439559ab50f282ee7jpeg.jpeg","100","20.8","10000","https://h5.ele.me/2021001185671035/pages/ele-takeout-index/ele-takeout-index?trace_id=215040c217446960758405648e1fcb&cartTransmit=%7B%22trace_id%22%3A%22215040c217446960758405648e1fcb%22%2C%22type%22%3A1%2C%22scheme_type%22%3A%22ITEM_STICKY_CATEGORY_SCHEME%22%2C%22subsubchannel%22%3A%22mobile.default.alsc-rec-data-center%3ATpp-26736%22%7D&anchorScene=BLANK&geohash=wwecmz4s8crn&brandId=603906&storeTransmit=%7B%22trace_id%22%3A%22215040c217446960758405648e1fcb%22%2C%22anchorScene%22%3A%22BLANK%22%2C%22subsubchannel%22%3A%22mobile.default.alsc-rec-data-center%3ATpp-26736%22%7D&menu_extra_info=%7B%22is_anchor%22%3Afalse%2C%22name_desc%22%3A%22%E5%88%9A%E5%88%9A%E7%9C%8B%E8%BF%87%22%2C%22skip_select_sku%22%3Atrue%2C%22group_name%22%3A%22%E5%88%9A%E5%88%9A%E7%9C%8B%E8%BF%87%22%2C%22sku_ids%22%3A%5B%22100001422566104885%22%5D%2C%22popularity%22%3A0%2C%22type%22%3A%22CUSTOM%22%7D&shopId=E15208568147858712325&type=1&scheme_type=ITEM_STICKY_CATEGORY_SCHEME&subsubchannel=mobile.default.alsc-rec-data-center%3ATpp-26736&o2o_extra_param=%7B%22rank_id%22%3A%22dce990f642c2467d9d68151676e0a7f2%22%7D"
"73","2025-04-15 13:47:57","S-pizza披萨速递(世纪路福园店)","5","15","0","【速递招牌】8英寸双拼披萨（口味任选）","https://cube.elemecdn.com/a/6e/ce883776abae8e51bf79b52b07c51png.png","93","25.8","9998","https://h5.ele.me/2021001185671035/pages/ele-takeout-index/ele-takeout-index?trace_id=215040c217446960758405648e1fcb&cartTransmit=%7B%22trace_id%22%3A%22215040c217446960758405648e1fcb%22%2C%22type%22%3A1%2C%22scheme_type%22%3A%22ITEM_STICKY_CATEGORY_SCHEME%22%2C%22subsubchannel%22%3A%22mobile.default.alsc-rec-data-center%3ATpp-26736%22%7D&anchorScene=BLANK&geohash=wwecmz4s8crn&brandId=603906&storeTransmit=%7B%22trace_id%22%3A%22215040c217446960758405648e1fcb%22%2C%22anchorScene%22%3A%22BLANK%22%2C%22subsubchannel%22%3A%22mobile.default.alsc-rec-data-center%3ATpp-26736%22%7D&menu_extra_info=%7B%22is_anchor%22%3Afalse%2C%22name_desc%22%3A%22%E5%88%9A%E5%88%9A%E7%9C%8B%E8%BF%87%22%2C%22skip_select_sku%22%3Atrue%2C%22group_name%22%3A%22%E5%88%9A%E5%88%9A%E7%9C%8B%E8%BF%87%22%2C%22sku_ids%22%3A%5B%22100001422566104885%22%5D%2C%22popularity%22%3A0%2C%22type%22%3A%22CUSTOM%22%7D&shopId=E15208568147858712325&type=1&scheme_type=ITEM_STICKY_CATEGORY_SCHEME&subsubchannel=mobile.default.alsc-rec-data-center%3ATpp-26736&o2o_extra_param=%7B%22rank_id%22%3A%22dce990f642c2467d9d68151676e0a7f2%22%7D"
